iter,buffer_size,mean_R,mean_raw_R,mean_oracle_raw_R,mean_len,mean_T,success_rate,q_loss,pi_loss,alpha,entropy,wall,reasons
8200,200000,0.7649980187416077,0.48131123618452065,0.5715430971282969,55.75439453125,129.609375,0.26806640625,0.004597194492816925,-0.7734739780426025,0.002863589208573103,-6.016598701477051,23115.93657851219,pos_err_exceeded:1012|max_steps:549|joint_limit:350|self_collision:137
8210,200000,0.7911849617958069,0.41181085148944635,0.5325047857121779,44.7509765625,132.671875,0.20458984375,0.009371590800583363,-0.7594294548034668,0.0028646038845181465,-6.154717922210693,23143.927151441574,pos_err_exceeded:1078|max_steps:419|joint_limit:397|self_collision:154
8220,200000,0.8030983209609985,0.3977037250267146,0.4521176706764869,47.48876953125,143.5625,0.197265625,0.0031543001532554626,-0.716986894607544,0.002870376920327544,-5.946386337280273,23172.21610212326,pos_err_exceeded:1222|max_steps:404|joint_limit:349|self_collision:64
8230,200000,0.7680066823959351,0.3646139454920637,0.4573854019830927,40.927734375,145.640625,0.162109375,0.005620935931801796,-0.7116880416870117,0.002875664969906211,-6.350790977478027,23199.4345099926,pos_err_exceeded:1364|max_steps:332|joint_limit:271|self_collision:54
8240,200000,0.8195723295211792,0.4615026122409105,0.5378464761976994,60.43798828125,139.78125,0.19775390625,0.010587400756776333,-0.7445752620697021,0.002881043590605259,-5.982396602630615,23227.960986852646,pos_err_exceeded:1203|max_steps:405|joint_limit:360|self_collision:80
8250,200000,0.8034026026725769,0.44923429066092596,0.5308914412583305,57.68212890625,152.96875,0.19775390625,0.0034281397238373756,-0.7202315926551819,0.0028831008821725845,-6.371000289916992,23256.016274929047,pos_err_exceeded:1062|joint_limit:481|max_steps:405|self_collision:100
8260,200000,0.7552791237831116,0.3609615237371505,0.439628475518691,45.13818359375,134.640625,0.111328125,0.008559336885809898,-0.7234609127044678,0.002889038994908333,-5.597676753997803,23283.699491500854,pos_err_exceeded:1293|joint_limit:397|max_steps:228|self_collision:129
8270,200000,0.8266382813453674,0.5417295976219092,0.6331408373858194,73.171875,146.453125,0.25732421875,0.005082487128674984,-0.7359063625335693,0.0028911090921610594,-5.86275053024292,23311.930015325546,pos_err_exceeded:1166|max_steps:527|joint_limit:333|self_collision:15
8280,200000,0.7848130464553833,0.38798486707719837,0.47781341819926104,51.34326171875,148.25,0.1748046875,0.00804031454026699,-0.7211770415306091,0.0028944718651473522,-5.762747764587402,23339.878823518753,pos_err_exceeded:1221|joint_limit:391|max_steps:358|self_collision:78
8290,200000,0.755340576171875,0.4669599017148549,0.5624051990286372,54.20458984375,138.828125,0.27734375,0.01361705269664526,-0.7656946778297424,0.0029025613330304623,-5.710219860076904,23367.647062778473,pos_err_exceeded:933|max_steps:568|joint_limit:367|init_ik_fail:122
8300,200000,0.7709327936172485,0.4043746757996437,0.4886602792440442,45.22509765625,133.890625,0.1884765625,0.012287628836929798,-0.768866240978241,0.002910854062065482,-6.151973247528076,23395.551567316055,pos_err_exceeded:1207|max_steps:386|joint_limit:323|self_collision:132
8310,200000,0.8293596506118774,0.44581477692331944,0.5194887958046213,52.71875,140.65625,0.25146484375,0.008243014104664326,-0.7475720643997192,0.0029199165292084217,-6.173051834106445,23423.320583820343,pos_err_exceeded:1080|max_steps:515|joint_limit:390|init_ik_fail:32
